STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
MEGHALAYA,2018,SCHIZOPHRENIA,0,0,2966889,0.245082073,,-0.406330746,-3.41191E-07,-0.738538314
MIZORAM,2018,SCHIZOPHRENIA,0,0,1097206,0.090635518,,-0.406330746,-3.41191E-07,-0.776935379
NAGALAND,2018,SCHIZOPHRENIA,0,0,1978502,0.163435629,,-0.406330746,-3.41191E-07,-0.758836493
ODISHA,2018,SCHIZOPHRENIA,1,0,41974219,3.467311581,,-0.388734196,-3.41191E-07,0.062542399
PUDUCHERRY,2018,SCHIZOPHRENIA,0,0,1247953,0.103088086,,-0.406330746,-3.41191E-07,-0.773839538
PUNJAB,2018,SCHIZOPHRENIA,0,2,27743338,2.291759071,,-0.406330746,-2.69901E-07,-0.229712526
RAJASTHAN,2018,SCHIZOPHRENIA,0,0,68548437,5.662494625,,-0.406330746,-3.41191E-07,0.608288379
SIKKIM,2018,SCHIZOPHRENIA,0,0,610577,0.050437167,,-0.406330746,-3.41191E-07,-0.786929119
TAMIL NADU,2018,SCHIZOPHRENIA,10,6,72147030,5.959759076,,-0.230365241,-1.27321E-07,0.6821915
TELANGANA,2018,SCHIZOPHRENIA,1,2,35002674,2.891421921,,-0.388734196,-2.69901E-07,-0.080629929
TRIPURA,2018,SCHIZOPHRENIA,1,3,3673917,0.303486646,,-0.388734196,-2.34256E-07,-0.724018313
UTTAR PRADESH,2018,SCHIZOPHRENIA,1,2,10086292,0.833185653,,-0.388734196,-2.69901E-07,-0.592329475
WEST BENGAL,2018,SCHIZOPHRENIA,3,5,91276115,7.539931371,,-0.353541095,-1.62966E-07,1.075039231
ANDHRA PRADESH,2018,OTHERS,3,0,49577103,4.095353469,,-0.353541095,-3.41191E-07,0.218680329
ANDAMAN & NICOBAR ,2018,OTHERS,3,0,380581,0.031438177,,-0.353541095,-3.41191E-07,-0.791652472
ARUNACHAL PRADESH,2018,OTHERS,0,0,1383727,0.114303798,,-0.406330746,-3.41191E-07,-0.771051192
ASSAM,2018,OTHERS,99,62,31205576,2.577759816,,1.335727755,1.86881E-06,-0.158609682
BIHAR,2018,OTHERS,26,22,104099452,8.599212662,,0.051179567,4.43001E-07,1.338387887
CHANDIGARH,2018,OTHERS,15,5,1055450,0.087186232,,-0.142382488,-1.62966E-07,-0.777792909
CHHATTISGARH,2018,OTHERS,13,9,25545198,2.110180081,,-0.17757559,-2.03853E-08,-0.274855004
DELHI,2018,OTHERS,11,7,16787941,1.386780353,,-0.212768691,-9.16755E-08,-0.454699913
DAMAN & DIU,2018,OTHERS,2,1,585764,0.048387471,,-0.371137645,-3.05546E-07,-0.787438696
GOA,2018,OTHERS,4,8,1458545,0.120484195,,-0.335944544,-5.60304E-08,-0.769514679
GUJARAT,2018,OTHERS,9,10,60439692,4.992665713,,-0.247961792,1.52599E-08,0.441761748
HARYANA,2018,OTHERS,0,0,25351462,2.094176375,,-0.406330746,-3.41191E-07,-0.278833697
HIMACHAL PRADESH,2018,OTHERS,1,1,6864602,0.567055554,,-0.388734196,-3.05546E-07,-0.658492264
JHARKHAND,2018,OTHERS,39,17,32988134,2.725009346,,0.279934724,2.64776E-07,-0.122001874
KARNATAKA,2018,OTHERS,5,3,61095297,5.046822451,,-0.318347994,-2.34256E-07,0.455225693
KERALA,2018,OTHERS,2,2,33406061,2.759532516,,-0.371137645,-2.69901E-07,-0.113419045
LAKSHADWEEP,2018,OTHERS,1,0,64473,0.00532584,,-0.388734196,-3.41191E-07,-0.798144278
MADHYA PRADESH,2018,OTHERS,1,2,72626809,5.999391577,,-0.388734196,-2.69901E-07,0.692044564
MAHARASTRA,2018,OTHERS,115,145,112374333,9.282765362,,1.617272563,4.82735E-06,1.508326398
MANIPUR,2018,OTHERS,0,0,2570390,0.212328978,,-0.406330746,-3.41191E-07,-0.746681084
